historical_change	consumer	line	interpretation
2026-06-29-release-transaction-automation	scripts/release_transaction.py	2309	reference-requires-classification
2026-05-23-release-process-contract	scripts/test-artifact-lifecycle-validator.py	452	reference-requires-classification
2026-06-29-release-transaction-automation	scripts/test-release-transaction.py	22	reference-requires-classification
2026-06-29-release-transaction-automation	scripts/test-release-transaction.py	456	reference-requires-classification
2026-06-29-release-transaction-automation	scripts/test-release-transaction.py	1169	reference-requires-classification
2026-06-29-release-transaction-automation	scripts/test-release-transaction.py	1173	reference-requires-classification
2026-06-29-release-transaction-automation	scripts/test-release-transaction.py	1209	reference-requires-classification
2026-06-29-release-transaction-automation	scripts/test-release-transaction.py	1213	reference-requires-classification
2026-08-10-published-skill-first-repository-simplification	scripts/test-retirement-ledger.py	78	reference-requires-classification
2026-06-24-semantic-source-line-contract	scripts/test-select-validation.py	1370	reference-requires-classification
2026-05-03-workflow-refactor	scripts/test-select-validation.py	2946	reference-requires-classification
2026-05-03-workflow-refactor	scripts/test-select-validation.py	2959	reference-requires-classification
2026-05-03-workflow-refactor	scripts/test-select-validation.py	2960	reference-requires-classification
2026-05-03-workflow-refactor	scripts/test-select-validation.py	2961	reference-requires-classification
2026-05-03-workflow-refactor	scripts/test-select-validation.py	2962	reference-requires-classification
2026-05-03-workflow-refactor	scripts/test-select-validation.py	2963	reference-requires-classification
2026-05-03-workflow-refactor	scripts/test-select-validation.py	2979	reference-requires-classification
2026-05-03-workflow-refactor	scripts/test-select-validation.py	2992	reference-requires-classification
2026-05-03-workflow-refactor	scripts/test-select-validation.py	2993	reference-requires-classification
2026-05-03-workflow-refactor	scripts/test-select-validation.py	2994	reference-requires-classification
2026-05-03-workflow-refactor	scripts/test-select-validation.py	2995	reference-requires-classification
2026-05-03-workflow-refactor	scripts/test-select-validation.py	2996	reference-requires-classification
2026-05-03-workflow-refactor	scripts/test-select-validation.py	3022	reference-requires-classification
2026-08-31-retire-standalone-test-spec-stage	scripts/test-select-validation.py	3376	reference-requires-classification
2026-08-31-retire-standalone-test-spec-stage	scripts/test-select-validation.py	3378	reference-requires-classification
2026-06-27-broad-smoke-safe-parallelism	scripts/test-select-validation.py	4226	reference-requires-classification
2026-05-08-skill-contract-optimization	scripts/test-skill-validator.py	95	reference-requires-classification
2026-05-09-single-source-of-workflow-state	scripts/test-skill-validator.py	99	reference-requires-classification
2026-06-24-separately-armed-implementation-autoprogression-through-verify	scripts/test-skill-validator.py	108	reference-requires-classification
2026-05-20-spec-family-assets-progressive-disclosure	scripts/test-skill-validator.py	2078	reference-requires-classification
2026-05-20-proposal-family-assets-progressive-disclosure	scripts/test-skill-validator.py	2998	reference-requires-classification
2026-05-19-rigorloop-published-skill-design-contract	scripts/test-skill-validator.py	3025	reference-requires-classification
2026-05-19-published-skill-design-spec-family	scripts/test-skill-validator.py	3059	reference-requires-classification
2026-05-19-published-skill-design-plan-family	scripts/test-skill-validator.py	3093	reference-requires-classification
2026-05-19-published-skill-design-spec-family	scripts/test-skill-validator.py	3134	reference-requires-classification
2026-05-19-published-skill-design-plan-family	scripts/test-skill-validator.py	3154	reference-requires-classification
2026-05-19-published-skill-design-spec-family	scripts/test-skill-validator.py	3171	reference-requires-classification
2026-05-19-published-skill-design-implement-code-review	scripts/test-skill-validator.py	3195	reference-requires-classification
2026-05-19-published-skill-design-plan-family	scripts/test-skill-validator.py	3226	reference-requires-classification
2026-06-23-evidence-bound-incremental-project-map	scripts/test-skill-validator.py	3999	reference-requires-classification
2026-06-23-evidence-bound-incremental-project-map	scripts/test-skill-validator.py	4051	reference-requires-classification
2026-06-23-evidence-bound-incremental-project-map	scripts/test-skill-validator.py	4075	reference-requires-classification
2026-05-11-progressive-loading-high-cost-public-skills	scripts/test-skill-validator.py	5250	reference-requires-classification
2026-08-12-plan-skill-simplification	scripts/test-skill-validator.py	6987	reference-requires-classification
2026-08-17-vision-skill-progressive-disclosure	scripts/test-skill-validator.py	7319	reference-requires-classification
2026-08-16-learn-skill-simplification	scripts/test-skill-validator.py	7450	reference-requires-classification
2026-08-15-architecture-skill-simplification	scripts/test-skill-validator.py	7588	reference-requires-classification
2026-08-19-ci-maintenance-skill-simplification	scripts/test-skill-validator.py	7720	reference-requires-classification
2026-08-20-bugfix-skill-simplification	scripts/test-skill-validator.py	7840	reference-requires-classification
2026-05-10-token-cost-measurement-baseline-and-proposal-scope-preservation	scripts/test-token-cost-measurement.py	24	reference-requires-classification
2026-05-14-cost-bounded-rigor-m4-lifecycle-token-cost-summary	scripts/test-token-cost-report-validation.py	30	reference-requires-classification
2026-05-14-cost-bounded-rigor-m4-lifecycle-token-cost-summary	scripts/test-token-cost-report-validation.py	459	reference-requires-classification
2026-05-14-cost-bounded-rigor-m4-lifecycle-token-cost-summary	scripts/test-token-cost-report-validation.py	461	reference-requires-classification
