path	baseline_identity	disposition	owner
dist/adapters/README.md	sha256:4fce0874a119e0e42d15b5323550d896ff7a1e9c095996a53e621068615c3d82	remove-generated-support	docs/design/engineering/packaging.md
dist/adapters/manifest.yaml	sha256:d7eb732f1528bbf7b1b57e3623a334716fb152e8747bc5ab2b3c7bc3969aa415	remove-generated-support	docs/design/engineering/packaging.md
docs/adr/ADR-20260419-repository-source-layout.md	sha256:f7267328b689bd8b63fda982507227b8bf32630b49ee864264036acf6592fe41	hold-unmapped-design	docs/adr/ADR-20260419-repository-source-layout.md
docs/adr/ADR-20260428-architecture-package-method.md	sha256:70d051e5ce1c4285b8f0fd5980092b1f7fe04a049e6dfddf4c0288bfdd8ac6c2	hold-unmapped-design	docs/adr/ADR-20260428-architecture-package-method.md
docs/adr/ADR-20260509-architecture-skill-surface-simplification.md	sha256:c772966986f587dbc6dc2f15727c680076c35d3a1882b6fd25ad5f2a401f4f2d	hold-unmapped-design	docs/adr/ADR-20260509-architecture-skill-surface-simplification.md
docs/adr/ADR-20260512-generated-skill-output-release-artifacts.md	sha256:ca6c031942c3450cb84c15c6ce3cd4f5a6aa9de7e1a1dd1371b5d8ad42ed954e	hold-unmapped-design	docs/adr/ADR-20260512-generated-skill-output-release-artifacts.md
docs/adr/ADR-20260515-rigorloop-cli-package-and-codex-init.md	sha256:46dec555d672b31c45ddcce7062cbfd2241f6dac61b7c8c856d1ebaeafc9fc3e	hold-unmapped-design	docs/adr/ADR-20260515-rigorloop-cli-package-and-codex-init.md
docs/adr/ADR-20260516-rigorloop-npm-publication.md	sha256:d9a3dc5ae7a5509956ebff8beca16033c949c563d13bf461f95848b5ce2b0c53	hold-unmapped-design	docs/adr/ADR-20260516-rigorloop-npm-publication.md
docs/adr/ADR-20260522-change-record-catalog-registration-and-bounded-read-model.md	sha256:b6b4b9f381689fe223aa02617c25b9f73836763d18b519b285803afe86a9def1	hold-unmapped-design	docs/adr/ADR-20260522-change-record-catalog-registration-and-bounded-read-model.md
docs/adr/ADR-20260623-published-skill-resource-integrity.md	sha256:1475793203979247b7b42f22406dd681c424ea74328db6d17f5e1102bd5eb69b	remove-mapped-common-source	docs/design/skill/skill.md
docs/adr/ADR-20260624-implementation-through-verify-autoprogression.md	sha256:09e79a9bc2777380462fd803788268ceed145d1bc9e19b818de6ea6da86ec3ee	remove-superseded-automation-adr	docs/adr/ADR-20260721-single-bounded-review-fix-workflow-automation.md; docs/design/skill/workflow.md
docs/adr/ADR-20260624-proposal-gated-authoring-autoprogression.md	sha256:90e034080ac06143f97c2b2160e5921541fdd2ebadeef642b3f6fc0b8b21e37b	remove-superseded-automation-adr	docs/adr/ADR-20260721-single-bounded-review-fix-workflow-automation.md; docs/design/skill/workflow.md
docs/adr/ADR-20260625-independent-adversarial-review-gates.md	sha256:ad621401e9d813f7ddece0d1400e3930f7fec2174f6f01a21cb1e47dd33ce404	hold-unmapped-design	docs/adr/ADR-20260625-independent-adversarial-review-gates.md
docs/adr/ADR-20260625-independent-test-spec-review-gate.md	sha256:87bfd16350347ad451324a7063d3dd41ac308c29b803f75f6b2f1f04dd1fcaeb	remove-retired-stage-design	docs/design/skill/assessment.md
docs/adr/ADR-20260626-requirement-fidelity-gate.md	sha256:f9e2b4fb74f3285bde068aee316806513c735eaa13dbbbda20aa88eadd788b56	hold-unmapped-design	docs/adr/ADR-20260626-requirement-fidelity-gate.md
docs/adr/ADR-20260630-bounded-review-fix-autoprogression.md	sha256:9fe1c2cf68ebe6006662c20edab32375b9c42c4af111343bf0c5d698b326cfc2	remove-superseded-automation-adr	docs/adr/ADR-20260721-single-bounded-review-fix-workflow-automation.md; docs/design/skill/workflow.md
docs/adr/ADR-20260721-single-bounded-review-fix-workflow-automation.md	sha256:b0359ab7e2550c07f9d83a0b49bbb248bf61e33351d7fd1f560c79094d5b1f0e	hold-unmapped-design	docs/adr/ADR-20260721-single-bounded-review-fix-workflow-automation.md
docs/adr/ADR-20260727-portable-boundary-first-reference-projection-and-activation.md	sha256:b5d623f338020f15570ca061940933469603dc1f99b6311c125038efc1ed4cf3	hold-unmapped-design	docs/adr/ADR-20260727-portable-boundary-first-reference-projection-and-activation.md
docs/adr/ADR-20260728-portable-boundary-first-release-manifest-and-package-rollback.md	sha256:3d09255eb51dacb2fd2fe756a656fc9719edd6de99763f23ae9ad09fd1b1c1e2	hold-unmapped-design	docs/adr/ADR-20260728-portable-boundary-first-release-manifest-and-package-rollback.md
docs/adr/ADR-20260729-progressive-boundary-guidance-resources.md	sha256:ad78a2f644679a6b0dbaaa6000c1c9b0a8751f9abeb238fcb74cee04e16181c9	hold-unmapped-design	docs/adr/ADR-20260729-progressive-boundary-guidance-resources.md
docs/adr/ADR-20260729-stage-owned-change-local-lifecycle-state.md	sha256:fd9202c7f77dab2a1f29b485528ba42c4c97d064a57bd90958907f91a8efd933	hold-unmapped-design	docs/adr/ADR-20260729-stage-owned-change-local-lifecycle-state.md
docs/adr/ADR-20260805-boundary-first-activation-candidate-and-atomic-publication.md	sha256:614c19fb59aae74205845024fa23993fed38e0b5dce2c65991a24909858b542a	hold-unmapped-design	docs/adr/ADR-20260805-boundary-first-activation-candidate-and-atomic-publication.md
docs/adr/ADR-20260806-checked-revision-boundary-activation-and-routine-release.md	sha256:dcdecc94c62a4d55e108711b466976c2309cb6bf4cfc866110461e9c44d82cdf	hold-unmapped-design	docs/adr/ADR-20260806-checked-revision-boundary-activation-and-routine-release.md
docs/adr/ADR-20260813-reviewed-plan-initialization-and-settlement.md	sha256:e7768da3d9543d0c1f29ac3109775109bd8b7967d157c426277e662bc5bebb6b	remove-consolidated-plan-initialization-adr	docs/design/skill/skill.md
docs/adr/ADR-20260818-ordered-final-review-stage-evidence-tail.md	sha256:d7b1fb1da32f22b28e9fd302e3a0881574563445a2e96c02cb00b4c97a1b76ea	hold-unmapped-design	docs/adr/ADR-20260818-ordered-final-review-stage-evidence-tail.md
docs/adr/ADR-20260824-governed-lifecycle-cli-transaction-boundary.md	sha256:b3336045d1a03ea5e42b4514b5e12046f8129083c6e5050f76ae2a2564759532	remove-mapped-legacy-source	docs/design/engineering/engineering.md; source-disposition.md additional audited source dispositions
docs/adr/ADR-20260825-local-cli-observability-and-result-projection-boundary.md	sha256:5e98900b19ff15a759dd59923c80d6a052281d345eec477d1814d82953a5a19e	hold-unmapped-design	docs/adr/ADR-20260825-local-cli-observability-and-result-projection-boundary.md
docs/adr/ADR-20260825-workflow-routed-correction-and-artifact-ownership.md	sha256:bb9ae9746eea36669c560153660dda049dee8470cf3f38eb2304c3fd3e08d8c5	hold-unmapped-design	docs/adr/ADR-20260825-workflow-routed-correction-and-artifact-ownership.md
docs/adr/ADR-20260828-consolidated-review-package-topology.md	sha256:ef4df7ce82c8563b38eb68ef016ae69e30148172bf924746ca0e1b920826c9a6	remove-selected-review-handoff-source	docs/design/skill/workflow.md; docs/design/skill/assessment.md
docs/adr/ADR-20260831-impact-aware-final-verification.md	sha256:a27977586ef4c3f9929cd5d31ec21c34f0b45c5804614bdb02cf6117e74691c9	remove-selected-closeout-source	docs/design/skill/assessment.md; Records/CLI representation
docs/adr/ADR-20260831-verification-ownership-without-test-spec-stage.md	sha256:fb9409e89524101cc54cb0af1ab9d7a22b6472a7a2cabe556ac9aaf3a91e795e	remove-selected-test-stage-source	docs/design/skill/skill.md#authoring; Design/Assessment/Validation existing owners
docs/adr/ADR-20260902-route-context-and-skill-identity.md	sha256:f09d242c3d65fc4fd8fcc412d30a880554786fa4b22edd1ec6fff9c329773d5c	hold-unmapped-design	docs/adr/ADR-20260902-route-context-and-skill-identity.md
docs/adr/ADR-20260903-compact-current-state-transaction-boundary.md	sha256:21a14c77e78109b70214f28fec5bd976892213b0cb77324fc83566247664c715	remove-mapped-legacy-source	docs/design/engineering/engineering.md; source-disposition.md additional audited source dispositions
docs/architecture/2026-04-19-rigorloop-first-release-repository-architecture.md	sha256:e1ef2ead9fd8eeb5e8b9f887cc467077bd5e9898d48b1f488f8249ee89ece90a	remove-archived-april-architecture	docs/design/system.md; docs/design/skill/workflow.md; docs/design/cli/records.md; docs/design/engineering/engineering.md
docs/architecture/2026-04-20-artifact-status-lifecycle-ownership.md	sha256:6064f63e4f78c038f6c025e1fb9867f70d9ce5801dce5be3b076f96fc8af3d16	remove-archived-april-architecture	docs/design/system.md; docs/design/skill/workflow.md; docs/design/cli/records.md; docs/design/engineering/engineering.md
docs/architecture/2026-04-21-docs-changes-usage-policy.md	sha256:12620a94422e3f2f484dc0788d83095ba0676eade98941e3c865669e32071a70	remove-archived-april-architecture	docs/design/system.md; docs/design/skill/workflow.md; docs/design/cli/records.md; docs/design/engineering/engineering.md
docs/architecture/2026-04-21-workflow-stage-autoprogression.md	sha256:b248a48b7ff5946ed701901e7511c787de9a4ba17d08fc8613d1423787c9dfc7	remove-archived-april-architecture	docs/design/system.md; docs/design/skill/workflow.md; docs/design/cli/records.md; docs/design/engineering/engineering.md
docs/architecture/2026-04-24-multi-agent-adapter-distribution.md	sha256:868bbb867865bc2b384344bec189e56b8f4ad8f3d1952db76971ec6bfc645353	remove-archived-april-architecture	docs/design/system.md; docs/design/skill/workflow.md; docs/design/cli/records.md; docs/design/engineering/engineering.md
docs/architecture/2026-04-24-review-finding-resolution-contract.md	sha256:5ad0355ce5251517b81eda0f7aa3f89c4ff7940f06c3b7e38465283eb9d169a3	remove-selected-review-recording-source	docs/design/skill/assessment.md; docs/design/skill/workflow.md; docs/design/cli/records.md
docs/architecture/2026-04-24-skill-invocation-commands-for-adapters.md	sha256:8564fbfaaeffa8246e4fa5e47a351445847f78db5924a80fe2a84b4a0e695657	remove-archived-april-architecture	docs/design/system.md; docs/design/skill/workflow.md; docs/design/cli/records.md; docs/design/engineering/engineering.md
docs/architecture/2026-04-25-test-layering-and-change-scoped-validation.md	sha256:126c845664d82d0343a0237f0f91b068c484607dd6202516293a4394eefd4963	remove-archived-april-architecture	docs/design/system.md; docs/design/skill/workflow.md; docs/design/cli/records.md; docs/design/engineering/engineering.md
docs/architecture/2026-06-25-independent-test-spec-review-gate.md	sha256:a18bf881e621e2d027b7f61b5a659809d3ad4a93639d9354085a906f41975045	remove-retired-stage-design	docs/design/skill/assessment.md
docs/architecture/2026-08-25-workflow-routed-upstream-corrections.md	sha256:dfca9caa10a55f8a0d3266ae5c92793b2aaea92f26840973cf1b32893618c2cb	hold-unmapped-design	docs/architecture/2026-08-25-workflow-routed-upstream-corrections.md
